username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"angular,d3,jquery,bootstrap,"
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"react,jquery,d3,"
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"animate,d3,jquery,bootstrap,"
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,"
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase4,Fri Nov 17 12:12:48 2017,1,8,"Zillow Home Value Searching API, Required Weather API, New York neighborhood, New York State Career Centers, Air Quality, New York museum, New York Safety, New York City Farmers Markets, ",1,1,1,0,1,1,1,1,"jquery,materialize,d3,"
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,"
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,"
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,0,0,1,1,"font-awesome,animate,"
