username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase3,Sun Nov 12 11:20:57 2017,1,5,"DOHMH New York City Restaurant Inspection Results, New York City Farmers Markets, Bank-Owned ATM Locations in New York State, Required Weather API, New York City Art Galleries, ",1,1,1,1,0,0,1,1,"materialize,jquery,animate,",0.04228855721393035,95.77114427860697,8,80,57.69%,"1,1,1,1,1,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,10,2.2222222222222223,92.31%,"2.0,0.0,0.0,;2.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;",21,191.03684476169877,57.69%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase3,Sun Nov 12 11:20:57 2017,0,3,"Neighborhood Tabulation Areas, Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, Housing New York Units by Building, ",1,1,1,0,1,1,1,1,"d3,three,bootstrap,jquery,react,",0.046511627906976744,95.34883720930233,8,80,53.85%,"0,1,1,1,0,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"0.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",14,189.05898213683855,53.85%
matson3,honors0,IH-Project-2017-matson3_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"d3,bootstrap,jquery,",0.001838235294117647,99.81617647058823,9,90,84.62%,"1,1,1,1,0,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,5,1.1111111111111112,73.08%,"3.0,1.0,1.0,;",17,203.9707658425689,76.92%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,",0.1134020618556701,88.65979381443299,9,90,61.54%,"1,1,1,1,0,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",15,192.3699387419692,61.54%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,0,,0.08333333333333333,91.66666666666666,8,80,50.0%,"1,1,1,1,0,1,1,1,0,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",14,185.37681159420288,50.0%
shivans,honors0,IH-Project-2017-shivans_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase3,Sun Nov 12 11:20:57 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,1,0,0,1,1,"d3,jquery,",0.0022222222222222222,99.77777777777777,8,80,65.38%,"1,1,1,1,1,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,80.77%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,80.77%,6,1.3333333333333335,76.92%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",19,202.85024154589374,73.08%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,1,"d3,bootstrap,jquery,animate,font-awesome,",0.02120141342756184,97.87985865724382,4,40,26.92%,"0,0,0,1,0,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,7,150.92333691811336,26.92%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
hihms,honors0,IH-Project-2017-hihms_webapp_phase3,Sun Nov 12 11:20:57 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.015463917525773196,98.4536082474227,5,50,30.77%,"0,0,1,1,0,0,0,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,80.77%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,80.77%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",13,170.85940534887195,30.77%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase3,Sun Nov 12 11:20:57 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.009933774834437087,99.00662251655629,10,100,88.46%,"1,1,1,1,1,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,3,0.6666666666666667,46.15%,"3.0,0.0,0.0,;",16,212.7167674440925,84.62%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
ko68,honors0,IH-Project-2017-ko68_webapp_phase3,Sun Nov 12 11:20:57 2017,1,4,"Total Housing Units By Occupancy Status And Tenure By Borough, Required Weather API, Housing New York Units by Building, New York City Leading Causes of Death, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.005813953488372093,99.4186046511628,10,100,92.31%,"1,1,1,1,1,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,7,1.5555555555555556,80.77%,"2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",20,214.01763846758791,88.46%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.05,95.0,9,90,69.23%,"0,1,1,1,1,1,1,1,1,",1,20,23.08%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,23.08%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,23.08%,0,0.0,0.0%,,12,198.04347826086956,65.38%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase3,Sun Nov 12 11:20:57 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.009836065573770493,99.01639344262296,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,3,0.6666666666666667,85.19%,"3.0,0.0,0.0,;",15,202.72653837015918,88.89%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase3,Sun Nov 12 11:20:57 2017,0,1,"Housing New York Units by Building, ",1,0,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.0,100.0,5,50,59.26%,"0,1,0,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",9,163.2657004830918,62.96%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,1,110.0,0.0%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase3,Sun Nov 12 11:20:57 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
