casc3798,unal2,IH-Project-2017-casc3798_webapp_phase5,Wed Nov 22 08:30:40 2017,0,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Fire Department Directory for New York State, New York City Museums, Alternative Fuel Stations in New York, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"d3,animate,bootstrap,jquery,",0.0547945205,94.5205479452,9,90,77.78%,"0,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.1111111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.0434782609,59.26%,25,5.5555555556,92.59%,"1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;0.0,1.0,2.0,;1.0,1.0,2.0,;",37,216.1630600225,70.37%
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York State Career Centers, Fire Department Directory for New York State, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,",0.0318471338,96.8152866242,9,90,85.19%,"0,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,14,3.1111111111,74.07%,"3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",24,198.6220499092,59.26%
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase5,Wed Nov 22 08:30:40 2017,1,5,"Required Weather API, New York City Art Galleries, NYCHA Development Data Book, New York City Museums, Fire Department Directory for New York State, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,",0.0009560229,99.9043977055,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",3,60,85.19%,"1.0,1.0,0.0,0.0,1.0,",11,61.1111111111,92.59%,"2.0,2.0,3.0,1.0,1.0,2.0,",14,60.8695652174,92.59%,24,5.3333333333,85.19%,"3.0,2.0,1.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;",48,326.9768614737,92.59%
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,animate,d3,jquery,",0.0283286119,97.1671388102,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,4,0.8888888889,62.96%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",11,166.751679873,44.44%
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0098522167,99.0147783251,8,80,70.37%,"1,0,1,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.347826087,44.44%,20,4.4444444444,81.48%,"1.0,1.0,2.0,;3.0,0.0,2.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;",29,192.1548749435,55.56%
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,",0.0104821803,98.9517819706,6,60,51.85%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.7777777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.0869565217,70.37%,0,0,0.0%,,12,211.1256950141,62.96%
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.0333333333,96.6666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,0,0,0.0%,,3,126.6666666667,0.0%
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, New York City Population By Boroughs, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.001017294,99.8982706002,8,80,74.07%,"1,0,1,1,0,1,1,1,1,",8,160,96.3%,"1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,",24,133.3333333333,96.3%,"3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,",32,139.1304347826,96.3%,24,5.3333333333,85.19%,"1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",64,463.4924734988,96.3%
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase5,Wed Nov 22 08:30:40 2017,1,2,"Required Weather API, new york address points, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,",0.0351239669,96.4876033058,8,80,66.67%,"1,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.3333333333,77.78%,"3.0,0.0,3.0,0.0,0.0,0.0,",7,30.4347826087,77.78%,6,1.3333333333,70.37%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",21,238.6905018565,77.78%
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.0333333333,96.6666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,0,0,0.0%,,3,126.6666666667,0.0%
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, new york address points, Zillow Home Value Searching API, Fire Department Directory for New York State, New York State Career Centers, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,font-awesome,jquery,",0.009375,99.0625,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.7777777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.0869565217,70.37%,34,7.5555555556,96.3%,"1.0,1.0,2.0,;3.0,0.0,0.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;3.0,2.0,1.0,;",50,258.791968599,81.48%
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.0333333333,96.6666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,0,0,0.0%,,3,126.6666666667,0.0%
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.0333333333,96.6666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,0,0,0.0%,,3,126.6666666667,0.0%
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.0333333333,96.6666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.0%,0,0,0.0%,,3,126.6666666667,0.0%
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,0,,0.0366972477,96.3302752294,5,50,44.44%,"0,1,1,1,0,0,0,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.1111111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.0434782609,59.26%,0,0,0.0%,,8,172.4172317511,48.15%
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.003649635,99.6350364964,7,70,62.96%,"1,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.3333333333,77.78%,"2.0,0.0,2.0,1.0,0.0,1.0,",7,30.4347826087,77.78%,3,0.6666666667,59.26%,"3.0,0.0,0.0,;",17,231.1712683804,74.07%
