mdecloedt,http://www.ironhacks.com/users/mdecloedt/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-mdecloedt_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-mdecloedt_webapp_phase5/index.html,honors0
Jordan-Loeser,http://www.ironhacks.com/users/Jordan-Loeser/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-Jordan-Loeser_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-Jordan-Loeser_webapp_phase5/index.html,honors0
LukasMMarinovic,http://www.ironhacks.com/users/LukasMMarinovic/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-LukasMMarinovic_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-LukasMMarinovic_webapp_phase5/index.html,honors0
whipplem123,http://www.ironhacks.com/users/whipplem123/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-whipplem123_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-whipplem123_webapp_phase5/index.html,honors0
SionHu,http://www.ironhacks.com/users/SionHu/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-SionHu_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-SionHu_webapp_phase5/index.html,honors0
jmamaril25,http://www.ironhacks.com/users/jmamaril25/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-jmamaril25_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-jmamaril25_webapp_phase5/index.html,honors0
lennwgs,http://www.ironhacks.com/users/lennwgs/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-lennwgs_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-lennwgs_webapp_phase5/index.html,honors0
viswapurdue,http://www.ironhacks.com/users/viswapurdue/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-viswapurdue_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-viswapurdue_webapp_phase5/index.html,honors0
CampbellC2,http://www.ironhacks.com/users/CampbellC2/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-CampbellC2_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-CampbellC2_webapp_phase5/index.html,honors0
noah-curran,http://www.ironhacks.com/users/noah-curran/projects/webapp_phase5/preview/index.html,https://github.com/li2266/9fc703c41916345769d5f4de213139ec/blob/master/IH-Project-2017-noah-curran_webapp_phase5/README.md,http://rawgit.com/li2266/9fc703c41916345769d5f4de213139ec/master/IH-Project-2017-noah-curran_webapp_phase5/index.html,honors0
