,mdecloedt,Jordan-Loeser,LukasMMarinovic,whipplem123,SionHu,jmamaril25,lennwgs,viswapurdue,CampbellC2,noah-curran,laurenjank,bzin22,AkaGar,matson3,ecottle,littlex2015,shivans,nbraunec,sanjitsama,Ilyumzhinov,hihms,snugghash,zhao744,aclipfel,ko68,GeoffYart,gshowal,Nigogu,Daryhez,daapinzonch,fewilchesc,JorgeTorresC,anythinglord,criscapunal,dieguischa,Orloffyeah,SergioLopez40,DiegoAraque1207,olimita,yaochoal,Gavnic,Joacampora,Ozai98,nviverosb,Sariilan,Alekzu,vvargasd,biherrerap,bfprietoc,LauraMolina,Acreed21,Camiioo,frnkbs,Jfcastroh,evilcucaracha,JulianM96,Saariasba,tres-iqus,cglaitong,DaniCastel,BrandonAvilanR,alejosaur,jaasuarezvi,jdsolanos,DavidsMartinez,Biopeligro,garayf,jaleonro,facuellarg,Caadiazsi,sebcamacho1703,xFortich,Gusgal03,Juankmilo97,alebautis,sarguellesr,davideperdomo,JamerMejiaGarcia,nikolasto,gahormigag,ayperezc,anferoar96,StevenEsmar,dcastanedar,trickyjuggler,DaveValencia,csalfonsol,tres-xxx,buendiagon,DSFarfanF,jssanchezo,bsdiaza,casc3798,jsalcinar,Anvido,Jufcardenasmo,federgolo,serbatero,GabrielUnal,diefrodriguezcha,adcorredorm,jdgaitanf,pahigueraf,RafaelCruz15,gimg1859,jannMorenoJ,dahrojasca,FredyRosero
laurenjank,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bzin22,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
AkaGar,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
matson3,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
ecottle,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
littlex2015,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
shivans,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
nbraunec,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
sanjitsama,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
Ilyumzhinov,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hihms,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
snugghash,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
zhao744,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
aclipfel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ko68,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
GeoffYart,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
gshowal,0.0,0.0,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,1.0,0.0,1.4142135623730951,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,0.0,1.4142135623730951,0.0,1.0,0.0,1.4142135623730951,0.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0
Nigogu,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4142135623730951,1.4142135623730951,0.0,1.4142135623730951,1.0,1.0,0.0,1.4142135623730951,1.0,0.0,1.0,1.0,1.0,1.0,1.4142135623730951
Daryhez,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
daapinzonch,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
fewilchesc,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JorgeTorresC,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,0.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951
anythinglord,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
