username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
hihms,honors0,IH-Project-2017-hihms_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.01584507042253521,98.41549295774648,5,50,33.33%,"0,0,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,96.3%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652173913,92.59%,6,1.3333333333333335,81.48%,"3.0,2.0,1.0,;",17,175.83578281281896,51.85%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,0,1,1,1,1,"materialize,jquery,",0.027522935779816515,97.24770642201834,7,70,62.96%,"0,1,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,7,167.24770642201833,37.04%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,",0.034013605442176874,96.5986394557823,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",16,210.3087843833185,88.89%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
ko68,honors0,IH-Project-2017-ko68_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.005625879043600563,99.43741209563994,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,6,1.3333333333333335,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",20,218.1620497767994,92.59%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.05982905982905983,94.01709401709401,9,90,81.48%,"0,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,12,197.06057227796356,77.78%
jmhunter4711,honors0,IH-Project-2017-jmhunter4711_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.010033444816053512,98.99665551839465,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",15,202.70680044593087,88.89%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,1,110.0,0.0%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.05,95.0,7,70,70.37%,"0,0,1,1,0,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",13,178.71014492753622,74.07%
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,0,1,1,1,1,"bootstrap,react,",0.01639344262295082,98.36065573770492,8,80,81.48%,"0,1,1,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,8,178.36065573770492,70.37%
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.006276150627615063,99.3723849372385,9,90,96.3%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",15,203.08252986477473,92.59%
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
olimita,unal0,IH-Project-2017-olimita_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.02040816326530612,97.95918367346938,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,92.59%,3,0.6666666666666667,81.48%,"1.0,1.0,1.0,;",16,206.01715468796215,96.3%
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.03225806451612903,96.7741935483871,9,90,85.19%,"0,1,1,1,1,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,9,186.7741935483871,85.19%
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.019762845849802372,98.02371541501977,7,70,77.78%,"1,1,1,1,0,0,0,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",13,181.73386034255597,81.48%
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"bootstrap,font-awesome,jquery,",0.01556420233463035,98.44357976653697,5,50,66.67%,"0,0,1,1,0,0,0,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,96.3%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,96.3%,1,0.2222222222222222,77.78%,"1.0,0.0,0.0,;",11,170.40493242354182,66.67%
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.02564102564102564,97.43589743589743,7,70,74.07%,"0,1,1,1,1,0,0,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,0,0.0,0.0%,,10,180.479375696767,77.78%
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,0,1,1,1,1,"bootstrap,animate,jquery,",0.06477732793522267,93.52226720647774,7,70,70.37%,"0,1,0,1,0,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,0,0.0,0.0%,,10,176.5657454673473,70.37%
