Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,0,0,0,0,0,0,
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,"
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,0,1,1,1,1,"bootstrap,react,"
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
olimita,unal0,IH-Project-2017-olimita_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,"
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"bootstrap,font-awesome,jquery,"
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,"
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,0,1,1,1,1,"bootstrap,animate,jquery,"
JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,1,0,0,1,1,"bootstrap,"
